No.,Time,Source,Destination,Protocol,Length,Info,casy medzi prichodmi,su rovnake?,,,,
1,0,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0,,,0,0,
2,0.056086,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.056086,0,,0.056086,0.0561,0
3,0.14378,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.087694,0,,0.14378,0.1438,0
4,0.154661,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.010881,0,,0.154661,0.1547,0
5,0.292309,10.176.3.21,224.0.1.203,UDP,1186,Source port: 4595  Destination port: 7523,0.137648,0,,0.292309,0.2923,0
6,0.292783,10.176.3.21,224.0.1.203,UDP,1390,Source port: 4595  Destination port: 7523,0.000474,0,,0.292783,0.2928,0
7,0.293027,10.176.3.21,224.0.1.203,UDP,1390,Source port: 4595  Destination port: 7523,0.000244,0,,0.293027,0.293,0
8,0.293325,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.000298,0,,0.293325,0.2933,0
9,0.296453,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.003128,0,,0.296453,0.2965,0
10,0.37889,10.176.3.21,224.0.1.203,UDP,1378,Source port: 4595  Destination port: 7523,0.082437,0,,0.37889,0.3789,0
11,0.379137,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.000247,0,,0.379137,0.3791,0
12,0.37961,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.000473,0,,0.37961,0.3796,0
13,0.381609,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.001999,0,,0.381609,0.3816,0
14,0.509485,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.127876,0,,0.509485,0.5095,0
15,0.509727,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.000242,0,,0.509727,0.5097,0
16,0.607116,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.097389,0,,0.607116,0.6071,0
17,0.659541,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.052425,0,,0.659541,0.6595,0
18,0.70938,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.049839,0,,0.70938,0.7094,0
19,0.762194,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.052814,0,,0.762194,0.7622,0
20,0.849312,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.087118,0,,0.849312,0.8493,0
21,0.894966,10.176.3.21,224.0.1.203,UDP,242,Source port: 4595  Destination port: 7523,0.045654,0,,0.894966,0.895,0
22,0.895034,10.176.3.21,224.0.1.203,UDP,1390,Source port: 4595  Destination port: 7523,6.80E-05,0,,0.895034,0.895,1
23,0.895192,10.176.3.21,224.0.1.203,UDP,1390,Source port: 4595  Destination port: 7523,0.000158,0,,0.895192,0.8952,0
24,0.898001,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.002809,0,,0.898001,0.898,0
25,0.901632,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.003631,0,,0.901632,0.9016,0
26,0.986156,10.176.3.21,224.0.1.203,UDP,1378,Source port: 4595  Destination port: 7523,0.084524,0,,0.986156,0.9862,0
27,0.986384,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.000228,0,,0.986384,0.9864,0
28,0.986619,10.176.3.21,224.0.1.203,UDP,1370,Source port: 4595  Destination port: 7523,0.000235,0,,0.986619,0.9866,0
29,1.077284,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.090665,0,,1.077284,1.0773,0
30,1.092655,10.176.3.21,224.0.1.203,UDP,1374,Source port: 4595  Destination port: 7523,0.015371,0,,1.092655,1.0927,0
